0, 1568, 67529, 3717355520, 67259, 3842137088, 67529, 3717355520, 269, 4170185728, 
2, 1584, 67259, 3842137088, 66991, 14936064, 67259, 3842137088, 268, 3827201024, 
4, 1600, 66991, 14936064, 66723, 791331840, 66991, 14936064, 267, 3518571520, 
6, 1616, 66723, 791331840, 66456, 1876357120, 66723, 791331840, 266, 3209942016, 
8, 1632, 66456, 1876357120, 66190, 3252834304, 66456, 1876357120, 265, 2918490112, 
10, 1648, 66190, 3252834304, 65926, 608618496, 66190, 3252834304, 264, 2644215808, 
12, 1664, 65926, 608618496, 65662, 2499289088, 65926, 608618496, 263, 2404296704, 
14, 1680, 65662, 2499289088, 65400, 334911488, 65662, 2499289088, 262, 2164377600, 
16, 1696, 65400, 334911488, 65394, 2201303040, 65400, 334911488, 5, 2428575744, 
18, 1712, 65394, 2201303040, 65388, 4170760192, 65394, 2201303040, 5, 2325510144, 
20, 1728, 65388, 4170760192, 65383, 1948315648, 65388, 4170760192, 5, 2222444544, 
22, 1744, 65383, 1948315648, 65377, 4106726400, 65383, 1948315648, 5, 2136556544, 
24, 1760, 65377, 4106726400, 65372, 2073235456, 65377, 4106726400, 5, 2033490944, 
26, 1776, 65372, 2073235456, 65367, 125632512, 65372, 2073235456, 5, 1947602944, 
28, 1792, 65367, 125632512, 65361, 2558884864, 65367, 125632512, 5, 1861714944, 
30, 1808, 65361, 2558884864, 65356, 800235520, 65361, 2558884864, 5, 1758649344, 
32, 1824, 65356, 800235520, 65350, 3422441472, 65356, 800235520, 5, 1672761344, 
34, 1840, 65350, 3422441472, 65345, 1852745728, 65350, 3422441472, 5, 1569695744, 
36, 1856, 65345, 1852745728, 65340, 368937984, 65345, 1852745728, 5, 1483807744, 
38, 1872, 65340, 368937984, 65334, 3265985536, 65340, 368937984, 5, 1397919744, 
